"[6, 5, 3, 2, 4, 7, 1, 75, 15, 89, 8, 50, 124, 75, 4357, 2096, 1462, 14, 6, 5, 3, 2, 4, 7, 1, 15, 89, 73, 79, 216, 124, 63, 169, 75, 680, 1619, 29, 79, 353, 261, 141, 127, 3164]",-1.0
"[2097, 4358, 3, 403, 703, 14, 26, 1240, 35, 6, 5, 3, 2, 4, 7, 16, 2098, 412, 57, 11, 224, 412, 592, 16, 106, 504, 422, 114]",0.0
"[12, 60, 681, 3165, 389, 682, 6, 5, 3, 2, 4, 7, 26, 1813, 3166, 28, 3167, 179, 12, 60, 28, 16, 287, 857, 2505, 1004, 1463, 1241, 3168, 616, 97, 122, 3167, 179, 4359, 70, 907]",0.0
"[43, 42, 6, 5, 3, 2, 4, 7, 1, 294, 73, 74]",0.0
"[116, 764, 6, 5, 3, 2, 4, 7, 9, 30, 340, 72, 1068, 2506, 51, 340, 353, 545, 332, 68, 76, 858, 1814, 438, 1464, 134, 333, 1815, 390, 37, 9, 946, 176, 4360, 9]",
"[6, 5, 3, 2, 4, 7, 1, 66, 730, 1816, 908, 58, 18]",0.0
"[1069, 13, 301, 270, 97, 647, 731, 947, 313, 37, 170, 68, 170, 228, 241, 617, 262, 295, 55, 16, 15, 89, 6, 5, 3, 2, 4, 7, 1, 41, 94, 69, 948, 450]",-1.0
"[4361, 18, 3169, 31, 66, 6, 5, 3, 2, 4, 7]",-1.0
"[2507, 1153, 4362, 112, 4363, 2507, 85, 36, 12, 6, 5, 3, 2, 4, 7, 1, 64, 49, 141, 25]",0.0
"[36, 122, 15, 89, 1242, 118, 1, 8, 225]",
"[807, 2099, 14, 6, 5, 3, 2, 4, 7, 1, 263, 18, 22, 1243, 413, 4364, 1465, 51, 4365, 4366, 35, 131, 3170, 1620, 571, 113, 234, 1, 187, 132, 4367, 572, 683, 10, 103, 26, 404, 1621, 47, 61, 593]",
"[32, 391, 1154, 229, 346, 505, 2508, 3171, 87, 77, 368, 3172, 176]",
"[405, 69, 3173, 808, 22, 235, 3, 2, 4, 7, 1244, 8, 48, 546, 506, 4, 108, 9]",
"[2100, 1466, 2101, 1622, 1817, 1467, 661, 949, 369, 547, 6, 5, 3, 2, 4, 7, 1, 16, 256, 520, 58, 18]",1.0
"[732, 950, 55, 2102, 392, 189, 1, 25, 119, 51, 392, 62, 3174, 102, 1, 909, 1, 1, 200, 507, 1005, 139, 3175, 765, 2509]",-1.0
"[207, 219, 451, 314, 73, 393, 1, 17, 17, 12, 1, 17, 17, 134, 80, 548, 733, 315, 809, 207, 230, 1818, 73, 393, 39, 951, 1819, 208, 684, 2510, 2103, 4368, 4369, 134, 80, 2104, 4370, 101, 226, 1070, 54, 207, 2511]",
"[3176, 125, 120, 6, 5, 3, 2, 4, 7, 1, 1333, 1, 8, 549, 1071, 684, 59, 9, 44, 10, 4371, 11, 201, 1, 8, 1820, 1006, 4372, 44, 20, 189, 190]",-1.0
"[810, 59, 368, 271, 521, 3177, 9, 550, 53, 952, 704, 91, 71, 1623, 11, 9]",-1.0
"[406, 172, 1, 1821, 272, 734, 332, 8, 734, 179, 438, 3178, 4373, 354, 508, 45, 4374, 252, 2512, 735, 1007, 21, 618, 61, 859, 1242, 1155, 355, 860, 1072, 1822, 2105, 10, 1624]",-1.0
"[19, 81, 423, 13, 1, 41, 8, 17, 648, 6, 5, 3, 2, 4, 7, 1, 17, 12, 1, 17, 522, 523, 424, 27, 551, 685, 522, 524, 94, 910, 45, 182, 424, 134, 193, 80]",0.0
"[18, 234, 1245, 6, 5, 3, 2, 4, 7, 194, 1, 16, 231, 42, 69]",
"[6, 5, 3, 2, 4, 7, 288, 12, 288, 1008, 811, 26, 38, 1625, 466, 128, 1156, 231, 284, 117, 139, 354, 72, 47]",
"[953, 179, 1, 1626, 8, 50, 198, 53, 10, 15, 285, 705]",-1.0
"[6, 5, 3, 2, 4, 7, 1, 8, 64, 49, 273, 812, 95, 209]",0.0
"[1246, 1334, 1, 8, 4375, 170, 68, 295, 168, 220, 452, 1823, 686, 168, 88, 6, 5, 3, 2, 4, 7, 1, 9, 170, 68, 295, 13, 452]",
"[3179, 3180, 1824, 49, 8, 1824, 49, 766, 662, 21, 24, 552, 126, 3181, 2106, 1244, 289, 594, 12, 857, 302, 33, 257, 1, 425, 210, 44, 20, 173, 231, 284, 4376, 3182, 1468, 3179, 3180, 1824, 49, 32, 1825, 85, 111, 1, 1825, 662, 2513, 32]",
"[83, 285, 8, 19, 81, 1335, 142, 426, 287, 201, 487, 40, 767, 185, 303, 140, 1826, 1469, 595, 4377, 19, 4378, 390, 4379]",-1.0
"[6, 5, 3, 2, 4, 7, 168, 19, 57, 12, 4380, 52, 2107, 82, 18]",1.0
